stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
9695,37318,42,1140,150,31.778499,35.202475,ירושלים מלחה,14 א35,12383 12834 12835 10179,
2381,37378,53,2522,158,32.762010,35.018364,בת גלים,224 237 24 37 א37,12293 12294 13244 13243 3697 3778 3779 3781,
846,37296,21,36,0,32.183181,34.920514,הוד השרון,571,5268,
35321,37336,11,276,0,31.916429,34.871259,רמלה,244,10331,
1939,37380,25,26,65,32.820062,34.959793,חיפה מרכז,205,13361,
13322,37356,31,312,0,32.066499,34.786802,בני ברק,75 76,9850 9851,
4590,37350,169,579,72,32.708051,35.330829,השלום,826 827,13076 13079 7083 7085 7076 7086,
24268,37394,6,396,11,31.909037,35.013417,מודיעין מרכז,182 183 184 268 468,13752 13754 6401 14612 14610 14664,
23861,37348,32,240,18,31.972413,34.780996,צומת חולון,163,13643 13644 3314,
21282,37350,186,36,2,32.927766,35.405161,השלום,846,7168,
21349,37336,15,175,16,31.935774,34.846308,רמלה,247,11932,
1125,37376,56,423,66,32.465526,34.914352,חוף הכרמל,921 922,7203 13113 13114 13115 13116 13117 7194 7199 7193 7198,
16888,37302,22,50,7,32.116731,34.975268,ראש העין-צפון,4,10788 10789,
10069,37318,40,1043,126,31.815424,35.196900,ירושלים מלחה,31,12884 12885,
10804,37316,40,15,0,31.698285,34.913038,קרית גת,23,15498,
37705,37382,70,36,3,32.922954,35.299795,נהריה,48,4285,37411
10898,37322,29,10,0,31.729819,34.958742,בית שמש,9,15488,
11095,37322,9,10,0,31.779984,35.011292,בית שמש,28,15507,
2162,37378,17,560,50,32.805420,35.001426,בת גלים,12 8,13221 13226,
11235,37312,123,265,44,31.799344,35.146352,באר שבע מרכז,446 470,13063 11009 6998 7011 7013,
16062,37332,9,5224,292,31.897746,34.810634,רחובות,16 164 165 166 174 201 204 205 222 26 27 273 274 277 28 294 298 301 36 367 37 371 377 38 40 7 80 א26,28 31 13691 13455 13472 13574 9505 3363 13690 13809 2994 10223 3149 3096 3101 3104 12673 10856 3097 3069 3102 3112 11494 7400 7402 3317 3319 3322 3323 3326 3356 3359 3388 3390 3392 3393 3394 15787 3530 11848 3341 11537 3360 16226 16227 10911 8141 13645,
2091,37378,43,2208,147,32.783560,35.014971,בת גלים,16 28,13237 13238 13239 3716 3636 3637,
21778,37326,38,55,4,31.805863,34.765254,אשדוד עד הלום,38,9604,
25551,37312,82,224,28,31.819635,34.669276,באר שבע מרכז,348,10868,
12896,37350,9,240,30,32.086336,34.781859,השלום,56,979,
13295,37350,13,812,63,32.062512,34.780173,השלום,127 20,2695 2697 2698 16074,
34392,37304,19,20,0,32.170717,35.014681,כפר סבא,183,9297,
22884,37304,31,20,0,32.226441,35.005179,כפר סבא,21,15834 7918,
18907,37384,50,450,45,32.954101,35.455217,עכו,361 363,4475 4479,
27745,37328,49,146,14,31.470434,34.529206,יבנה מזרח,353,8130 8128,
10763,37318,40,313,51,31.778552,35.215799,ירושלים מלחה,264 א18,13775 12941 12940 10798,
14302,37350,39,12,0,32.176741,34.855940,השלום,502,5203,
22128,37394,16,30,4,31.879930,35.008996,מודיעין מרכז,114 84 88,11351 11357 11367,
39254,37332,31,10,0,31.894884,34.988674,רחובות,160,16331,
