stop_id,station_id,stop_code,station_code,station_distance,stop_lat,stop_lon,google_walking_distance,gh_walking_distance,google_station_lat,google_station_lon,gh_station_lat,gh_station_lon,google_directions,gh_directions
3870,37388,43008,17008,300.78826580980405,32.792027,35.034779,545,499.071,32.79374,35.03717,32.79374,35.03717,32.791941 35.034786 32.792344 35.035304 32.792415 35.035675 32.792586 35.035604 32.793417 35.038218 32.793442 35.038198 32.793742 35.037192,32.792074 35.034871 32.791744 35.035122 32.791703 35.035242 32.791757 35.035400 32.791846 35.035611 32.792308 35.035727 32.792519 35.035757 32.792561 35.035768 32.792584 35.035799 32.792703 35.036155 32.792730 35.036370 32.792777 35.036512 32.792795 35.036625 32.792795 35.036775 32.792815 35.036906 32.793372 35.038167 32.793354 35.038283 32.793886 35.037917
3871,37388,43009,17008,280.7689352433651,32.792870,35.034346,700,483.977,32.79374,35.03717,32.79374,35.03717,32.792847 35.034346 32.792111 35.034460 32.792061 35.034508 32.792344 35.035304 32.792415 35.035675 32.792586 35.035604 32.793417 35.038218 32.793442 35.038198 32.793742 35.037192,32.792914 35.034344 32.792917 35.034731 32.792887 35.034785 32.792766 35.034893 32.792843 35.035198 32.792887 35.035604 32.792727 35.035716 32.792742 35.035811 32.792785 35.035925 32.792767 35.035953 32.792661 35.036008 32.792703 35.036155 32.792730 35.036370 32.792777 35.036512 32.792815 35.036906 32.793372 35.038167 32.793354 35.038283 32.793886 35.037917
3895,37378,43033,17018,341.64933495812795,32.832124,34.978783,483,516.194,32.8306,34.98206,32.8306,34.98206,32.832119 34.978783 32.832075 34.980285 32.832019 34.980528 32.830993 34.980663 32.830761 34.982327 32.830682 34.982323 32.830557 34.982093,32.832148 34.978781 32.832051 34.980545 32.832024 34.980546 32.831962 34.980605 32.831955 34.980636 32.830979 34.980620 32.830898 34.980803 32.830874 34.981166 32.830926 34.981531 32.831003 34.981769 32.830862 34.982454 32.830805 34.982323 32.830746 34.982275 32.830676 34.982260 32.830563 34.982095
3896,37378,43034,17018,239.14056617596302,32.828558,34.982996,526,647.959,32.83013,34.98169,32.8306,34.98206,32.828521 34.982980 32.828214 34.983910 32.828105 34.983843 32.828907 34.981091 32.830121 34.981708,32.828614 34.983020 32.828404 34.983741 32.828395 34.983822 32.828439 34.983981 32.830439 34.985082 32.830479 34.984933 32.830411 34.984743 32.830353 34.984450 32.830345 34.984210 32.830862 34.982454 32.830805 34.982323 32.830746 34.982275 32.830676 34.982260 32.830563 34.982095
3897,37378,43035,17018,204.85387167223257,32.828995,34.980618,192,261.392,32.83013,34.98169,32.83013,34.98169,32.829034 34.980633 32.828907 34.981091 32.830121 34.981708,32.829016 34.980627 32.828913 34.980964 32.828620 34.980799 32.828661 34.980943 32.830139 34.981666
4004,37372,45643,17024,55.63705354028994,32.514638,34.950086,65,61.189,32.514159,34.950079,32.514159,34.950079,32.514648 34.950159 32.514242 34.950235 32.514158 34.950091,32.514647 34.950149 32.514285 34.950218 32.514247 34.950124 32.514202 34.950092 32.514158 34.950088
4005,37372,45644,17024,78.42200187446689,32.514137,34.950356,188,692.187,32.514159,34.950079,32.514159,34.950079,32.514133 34.950321 32.514907 34.950199 32.514242 34.950235 32.514158 34.950091,32.514132 34.950322 32.512678 34.950607 32.512232 34.950734 32.512073 34.950825 32.511833 34.951039 32.511711 34.951299 32.511695 34.951261 32.511638 34.951211 32.511603 34.951203 32.511533 34.951226 32.511506 34.951256 32.511426 34.951104 32.511408 34.951007 32.511399 34.950787 32.511449 34.950648 32.511501 34.950602 32.511587 34.950564 32.514093 34.950081 32.514158 34.950088
4035,37372,46041,17024,166.98007763243368,32.512887,34.949451,97,95.344,32.513737,34.949309,32.513737,34.949309,32.512885 34.949440 32.513723 34.949274 32.513723 34.949309,32.512888 34.949458 32.513731 34.949272
4036,37372,46042,17024,125.84654451331527,32.513283,34.949269,51,48.941,32.513737,34.949309,32.513737,34.949309,32.513296 34.949359 32.513723 34.949274 32.513723 34.949309,32.513298 34.949368 32.513731 34.949272
5575,37382,57467,17014,84.50297335580613,33.005512,35.097968,483,108.151,33.0057,35.09873,33.0057,35.09873,33.005501 35.098049 33.005338 35.097785 33.004876 35.097942 33.005861 35.098242 33.005801 35.098685,33.005513 35.097964 33.005897 35.098067 33.005806 35.098748
6618,37382,59319,17014,273.7733097553301,33.004520,35.095848,428,429.509,33.0057,35.09873,33.0057,35.09873,33.004529 35.095795 33.006199 35.096170 33.005801 35.098685,33.004531 35.095785 33.005370 35.095996 33.005312 35.096602 33.005465 35.096667 33.005602 35.096779 33.005440 35.097793 33.005357 35.097825 33.005357 35.097922 33.005897 35.098067 33.005806 35.098748
